source,target,weight,avg_streams,hyperbolic_distance
pop rap,rap,222,53856301.00917431,0.15134550631046295
rap,trap,218,66562200.67326733,1.5895370244979858
hip hop,rap,203,54050063.56790123,0.9363394379615784
dance pop,pop,183,86030063.95,3.0454463958740234
reggaeton,tropical,166,97913663.48,5.40073823928833
reggaeton,trap latino,165,117973323.73214284,0.3100821375846863
reggaeton,reggaeton flow,159,115727200.31707317,0.5666981935501099
pop,post-teen pop,157,97044044.11111107,0.08003294467926025
pop rap,trap,130,55782000.375,1.734451413154602
pop,pop rap,122,66067546.975,6.244612216949463
latin hip hop,reggaeton,121,111502454.17948718,0.1315636783838272
hip hop,pop rap,107,60439696.78688525,0.7850892543792725
pop,rap,105,58316709.90769231,6.182096481323242
pop,tropical house,103,74862523.42372881,2.601595163345337
rap,southern hip hop,102,50697315.17460317,0.024079160764813423
hip hop,trap,93,56837018.32727273,2.502272844314575
rap,underground hip hop,92,14054992.75,1.8852996826171875
melodic rap,rap,89,65295637.48214286,3.230860471725464
edm,pop,85,66541194.68085106,4.403779029846191
electropop,pop,84,84204277.12244898,1.3771981000900269
atl hip hop,rap,83,62199672.98,1.2409336566925049
reggaeton flow,trap latino,79,116317871.03703704,0.2923172414302826
trap latino,tropical,78,111559660.31578948,5.3718953132629395
dance pop,post-teen pop,78,96891779.90566038,3.113837480545044
reggaeton flow,tropical,74,106242564.4074074,5.228826522827148
dance pop,tropical house,69,61678727.06666667,3.3455538749694824
melodic rap,trap,66,84110288.14285715,1.882545828819275
latin hip hop,trap latino,65,130890299.73076925,0.23845121264457703
latin hip hop,reggaeton flow,65,115670503.86363636,0.45390844345092773
hip hop,underground hip hop,61,7782368.875,2.800821542739868
pop rap,southern hip hop,61,60619390.72093023,0.13317283987998962
dance pop,edm,61,65228629.9,4.617435932159424
pop,trap,60,47684998.33333334,6.268553733825684
dance pop,pop rap,58,76527244.90476191,4.312432765960693
melodic rap,pop rap,55,57648916.02325582,3.3640730381011963
southern hip hop,trap,52,45846738.79411765,1.6033806800842285
post-teen pop,tropical house,49,64908942.43902439,2.681640386581421
dance pop,rap,49,66241281.66666666,4.255396366119385
atl hip hop,pop rap,47,50968732.0,1.385309100151062
reggaeton,trap argentino,46,73764306.61538461,4.744138717651367
latin hip hop,tropical,46,80287251.85714285,5.288719654083252
atl hip hop,trap,46,48197448.86666667,0.34981948137283325
hip hop,pop,46,39731070.7,6.782948970794678
hip hop,southern hip hop,43,74940676.66666667,0.9169124364852905
latin pop,reggaeton,41,120606938.81481482,5.036357402801514
pop,reggaeton,40,107808331.3181818,6.678582668304443
dance pop,electropop,39,67615481.71428572,2.9810147285461426
pop rap,post-teen pop,39,82745920.96969697,6.3178911209106445
atl trap,rap,38,54993399.68181818,4.046480178833008
edm,post-teen pop,38,69187390.19354838,4.483626365661621
edm,tropical house,37,54400258.61904762,2.441877841949463
pop,uk pop,37,134077794.36666666,0.6881623268127441
panamanian pop,reggaeton,36,107296618.0,2.3091816902160645
r&b en espanol,reggaeton,36,120556623.33333331,5.079782962799072
colombian pop,reggaeton,35,85576089.4375,2.380012035369873
atl hip hop,hip hop,35,43880862.64,2.152492046356201
electropop,post-teen pop,34,88368770.76666667,1.4537031650543213
electropop,tropical house,32,58765614.18181818,1.4655369520187378
miami hip hop,rap,32,50001841.8,0.0851985439658165
conscious hip hop,rap,31,39519826.31578948,1.5652261972427368
dance pop,reggaeton,30,104771793.95,4.575284957885742
puerto rican pop,reggaeton,29,169795789.25,3.715629816055298
electro house,pop,29,66403470.13636363,4.470213890075684
hip hop,melodic rap,29,64896467.0,4.101739883422852
dance pop,trap,28,55154016.47619048,4.4095892906188965
pop,southern hip hop,28,30648845.65,6.175060749053955
pop,uk dance,27,98473639.57142857,3.5948879718780518
post-teen pop,rap,27,75956324.7,6.255392551422119
deep german hip hop,german hip hop,27,7134307.285714285,0.7541362643241882
melodic rap,pop,26,53326558.39130435,7.239116668701172
trap,underground hip hop,26,16693545.857142854,0.3025292158126831
gangster rap,rap,25,70921197.30434783,1.0974823236465454
pop,r&b,25,70834113.1,4.14255952835083
canadian pop,pop,25,150127764.7142857,1.1102725267410278
dance pop,uk dance,25,55876526.66666666,3.8426332473754883
cali rap,rap,25,53183002.2,1.4982819557189941
house,pop,24,103461121.27272728,6.116458415985107
atl hip hop,southern hip hop,24,49518555.85714286,1.2544959783554077
pop rap,underground hip hop,23,15462297.222222222,2.031092405319214
pop rap,reggaeton,22,131703165.76470588,3.461089611053467
edm,electropop,22,51748995.38888889,3.492652416229248
canadian hip hop,rap,22,81697632.42105263,2.690075159072876
canadian pop,rap,22,79713229.16666667,5.072595596313477
rap,trap soul,22,60228111.0,3.9882924556732178
conscious hip hop,hip hop,21,16280730.785714284,0.7202031016349792
atl trap,hip hop,21,44788068.66666666,4.898388862609863
dirty south rap,rap,21,44922278.85714286,0.14029273390769958
rap,toronto rap,21,88593409.0,3.3325512409210205
melodic rap,southern hip hop,21,56305869.6,3.240119218826294
pop rap,r&b,21,42317054.78571428,2.2231035232543945
dance pop,house,20,47773300.0,4.490482330322266
