source,target,weight,avg_streams,hyperbolic_distance
pop rap,rap,222,53856301.00917431,0.1084815189242363
rap,trap,218,66562200.67326733,1.1474268436431885
hip hop,rap,203,54050063.56790123,1.1808668375015259
dance pop,pop,183,86030063.95,2.2426626682281494
reggaeton,tropical,166,97913663.48,1.648858904838562
reggaeton,trap latino,165,117973323.73214284,0.10447660088539124
reggaeton,reggaeton flow,159,115727200.31707317,1.122029185295105
pop,post-teen pop,157,97044044.11111107,0.15843921899795532
pop rap,trap,130,55782000.375,1.2310069799423218
pop,pop rap,122,66067546.975,4.078416347503662
latin hip hop,reggaeton,121,111502454.17948718,0.05740203335881233
hip hop,pop rap,107,60439696.78688525,1.0753812789916992
pop,rap,105,58316709.90769231,4.0913262367248535
pop,tropical house,103,74862523.42372881,1.794455647468567
rap,southern hip hop,102,50697315.17460317,0.01746905967593193
hip hop,trap,93,56837018.32727273,2.273747205734253
rap,underground hip hop,92,14054992.75,1.2995522022247314
melodic rap,rap,89,65295637.48214286,3.3067626953125
edm,pop,85,66541194.68085106,5.134006500244141
electropop,pop,84,84204277.12244898,0.5096419453620911
atl hip hop,rap,83,62199672.98,0.8670240640640259
reggaeton flow,trap latino,79,116317871.03703704,1.0766410827636719
trap latino,tropical,78,111559660.31578948,1.68553626537323
dance pop,post-teen pop,78,96891779.90566038,2.3945555686950684
reggaeton flow,tropical,74,106242564.4074074,1.4334847927093506
dance pop,tropical house,69,61678727.06666667,2.2522354125976562
melodic rap,trap,66,84110288.14285715,2.7513535022735596
latin hip hop,trap latino,65,130890299.73076925,0.05468068644404411
latin hip hop,reggaeton flow,65,115670503.86363636,1.115780234336853
hip hop,underground hip hop,61,7782368.875,2.4353880882263184
pop rap,southern hip hop,61,60619390.72093023,0.10076586157083511
dance pop,edm,61,65228629.9,5.633747100830078
pop,trap,60,47684998.33333334,4.071631908416748
dance pop,pop rap,58,76527244.90476191,1.8809075355529785
melodic rap,pop rap,55,57648916.02325582,3.3367228507995605
southern hip hop,trap,52,45846738.79411765,1.1438853740692139
post-teen pop,tropical house,49,64908942.43902439,1.9397538900375366
dance pop,rap,49,66241281.66666666,1.9010968208312988
atl hip hop,pop rap,47,50968732.0,0.9437525868415833
reggaeton,trap argentino,46,73764306.61538461,4.128536224365234
latin hip hop,tropical,46,80287251.85714285,1.685372233390808
atl hip hop,trap,46,48197448.86666667,0.3063296973705292
hip hop,pop,46,39731070.7,4.7076568603515625
hip hop,southern hip hop,43,74940676.66666667,1.1758241653442383
latin pop,reggaeton,41,120606938.81481482,3.5970618724823
pop,reggaeton,40,107808331.3181818,4.731019020080566
dance pop,electropop,39,67615481.71428572,2.7514753341674805
pop rap,post-teen pop,39,82745920.96969697,4.2282538414001465
atl trap,rap,38,54993399.68181818,4.335948944091797
edm,post-teen pop,38,69187390.19354838,5.27388858795166
edm,tropical house,37,54400258.61904762,3.3979921340942383
pop,uk pop,37,134077794.36666666,1.4833263158798218
panamanian pop,reggaeton,36,107296618.0,2.6143600940704346
r&b en espanol,reggaeton,36,120556623.33333331,4.6210761070251465
colombian pop,reggaeton,35,85576089.4375,0.7590214014053345
atl hip hop,hip hop,35,43880862.64,1.9747087955474854
electropop,post-teen pop,34,88368770.76666667,0.36798712611198425
electropop,tropical house,32,58765614.18181818,2.1968960762023926
miami hip hop,rap,32,50001841.8,0.16544729471206665
conscious hip hop,rap,31,39519826.31578948,1.77626633644104
dance pop,reggaeton,30,104771793.95,3.003857374191284
puerto rican pop,reggaeton,29,169795789.25,2.7114744186401367
electro house,pop,29,66403470.13636363,5.160689830780029
hip hop,melodic rap,29,64896467.0,4.191190719604492
dance pop,trap,28,55154016.47619048,1.995283842086792
pop,southern hip hop,28,30648845.65,4.074755668640137
pop,uk dance,27,98473639.57142857,4.559985160827637
post-teen pop,rap,27,75956324.7,4.240989685058594
deep german hip hop,german hip hop,27,7134307.285714285,0.5394178032875061
melodic rap,pop,26,53326558.39130435,4.206185340881348
trap,underground hip hop,26,16693545.857142854,0.1725463718175888
gangster rap,rap,25,70921197.30434783,1.3960063457489014
pop,r&b,25,70834113.1,2.514049530029297
canadian pop,pop,25,150127764.7142857,1.3938055038452148
dance pop,uk dance,25,55876526.66666666,5.041704177856445
cali rap,rap,25,53183002.2,1.1999684572219849
house,pop,24,103461121.27272728,4.4622273445129395
atl hip hop,southern hip hop,24,49518555.85714286,0.8616933226585388
pop rap,underground hip hop,23,15462297.222222222,1.3863757848739624
pop rap,reggaeton,22,131703165.76470588,4.425449371337891
edm,electropop,22,51748995.38888889,5.511765480041504
canadian hip hop,rap,22,81697632.42105263,1.8266353607177734
canadian pop,rap,22,79713229.16666667,4.340944290161133
rap,trap soul,22,60228111.0,4.492872714996338
conscious hip hop,hip hop,21,16280730.785714284,0.6020417213439941
atl trap,hip hop,21,44788068.66666666,5.189481735229492
dirty south rap,rap,21,44922278.85714286,0.13453669846057892
rap,toronto rap,21,88593409.0,3.382519245147705
melodic rap,southern hip hop,21,56305869.6,3.2939045429229736
pop rap,r&b,21,42317054.78571428,1.6479841470718384
dance pop,house,20,47773300.0,4.724185943603516
dance pop,electro house,20,54683353.06666667,5.659997463226318
dfw rap,rap,20,94743108.4375,1.5243258476257324
atl hip hop,melodic rap,20,104164953.26315787,2.694932699203491
